character,decomposition,etymology,radical,matches
尗,⿱上小,"{type: ideographic, hint: The smaller 小 of two brothers}",小,"[[0],[0],[0],[1],[1],[1]]"
尘,⿱小土,"{type: ideographic, hint: Small 小 flakes of earth 土}",小,"[[0],[0],[0],[1],[1],[1]]"
尙,⿱小冋,null,小,"[[0],[0],[0],[1],[1],[1],[1],[1]]"
尚,⿵⿱⺌冂口,null,⺌,"[[0,0],[0,0],[0,0],[0,1],[0,1],[1],[1],[1]]"
尜,⿳小大小,"{type: ideographic, hint: A diamond: small 小 to big 大 to small 小}",小,"[[0],[0],[0],[1],[1],[1],[2],[2],[2]]"
尝,⿱尚云,"{type: pictophonetic, phonetic: 尚, semantic: 云, hint: speak}",⺌,"[[0],[0],[0],[0],[0],[1],[1],[1],[1]]"
尞,⿱？小,null,小,"[null,null,null,null,null,null,null,null,null,[1],[1],[1]]"
尢,⿸？乚,"{type: ideographic, hint: Cutting 一 off the feet 儿; compare 兀}",尢,"[null,null,[1]]"
尣,⿱八儿,"{type: ideographic, hint: A person with damaged 八 feet 儿}",尣,"[[0],[0],[1],[1]]"
尤,⿻尢丶,"{type: pictophonetic, phonetic: 尢}",尢,"[[0],[0],[0],[1]]"
尥,⿺尢勺,null,尢,"[[0],[0],[0],[1],[1],[1]]"
尧,⿱戈兀,null,儿,"[[0],[0],[0],[1],[1],[1]]"
尨,⿺犬彡,"{type: ideographic, hint: A hairy 彡 dog 犬}",犬,"[[0],[0],[0],[0],[1],[1],[1]]"
尬,⿺尢介,"{type: pictophonetic, phonetic: 介, semantic: 尢, hint: lame}",尢,"[[0],[0],[0],[1],[1],[1],[1]]"
就,⿰京尤,"{type: pictophonetic, phonetic: 京, semantic: 尤, hint: specialty}",尢,"[[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1]]"
尴,⿺尢监,"{type: pictophonetic, phonetic: 监, semantic: 尢, hint: lame}",尢,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
尷,⿺尢監,"{type: pictophonetic, phonetic: 監, semantic: 尢, hint: lame}",尢,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
尸,⿰丿？,"{type: pictographic, hint: A man keeled over}",尸,"[null,null,[0]]"
尹,⿻一尸,"{type: pictographic, hint: A scepter}",尸,"[[1],[0],[1],[1]]"
尺,⿸尸乚,"{type: ideographic, hint: Picture of a man measuring by pacing}",尸,"[[0],[0],[0],[1]]"
尻,⿸尸九,"{type: pictophonetic, semantic: 尸, hint: body}",尸,"[[0],[0],[0],[1],[1]]"
尼,⿸尸匕,null,尸,"[[0],[0],[0],[1],[1]]"
尽,⿵尺⺀,null,尸,"[[0],[0],[0],[0],[1],[1]]"
尾,⿸尸毛,"{type: ideographic, hint: A furry 毛 tail behind a body 尸}",尸,"[[0],[0],[0],[1],[1],[1],[1]]"
尿,⿸尸水,"{type: ideographic, hint: A person, crouched 尸 passing water 水}",尸,"[[0],[0],[0],[1],[1],[1],[1]]"
局,⿵尺口,"{type: ideographic, hint: A place where measures 尺 are discussed 口}",尸,"[[0],[0],[0],[0],[1],[1],[1]]"
屁,⿸尸比,"{type: pictophonetic, phonetic: 比, semantic: 尸, hint: body}",尸,"[[0],[0],[0],[1],[1],[1],[1]]"
层,⿸尸云,"{type: ideographic, hint: Simplified form of 層; 曾 provides the pronunciation}",尸,"[[0],[0],[0],[1],[1],[1],[1]]"
屃,⿸尸贝,"{type: ideographic, hint: Simplified form of 屭; a strong 贔 body 尸}",尸,"[[0],[0],[0],[1],[1],[1],[1]]"
屄,⿸尸穴,"{type: ideographic, hint: A hole 穴 in a woman's body 尸}",尸,"[[0],[0],[0],[1],[1],[1],[1],[1]]"
居,⿸户古,"{type: pictophonetic, phonetic: 古, semantic: 户, hint: door}",户,"[[0],[0],[0],[1],[1],[1],[1],[1]]"
屆,⿸尸⿶凵士,null,尸,"[[0],[0],[0],[1,1],[1,1],[1,1],[1,0],[1,0]]"
屈,⿸尸出,"{type: pictophonetic, phonetic: 出, semantic: 尸, hint: corpse}",尸,"[[0],[0],[0],[1],[1],[1],[1],[1]]"
屉,⿸尸世,null,尸,"[[0],[0],[0],[1],[1],[1],[1],[1]]"
届,⿸尸由,null,尸,"[[0],[0],[0],[1],[1],[1],[1],[1]]"
